1,14,100,25,74,61,70,34,53,100,23
2,43,79,13,99,83,61,46,10,32,75
3,57,72,74,18,98,41,77,35,77,34
4,100,9,86,58,50,97,39,27,52,55
5,88,79,94,67,100,4,47,15,77,88
6,57,9,35,41,69,7,5,54,97,18
7,68,78,86,74,84,20,49,2,25,40
8,69,58,75,68,60,84,90,29,52,96
9,33,45,53,50,9,26,84,64,90,57
10,77,56,69,94,36,44,36,40,70,62
11,22,20,63,29,44,86,80,62,100,49
12,84,74,21,16,75,71,4,17,39,78
13,19,95,20,73,93,41,54,77,96,23
14,84,21,47,45,100,9,34,92,79,58
15,66,27,67,82,15,16,51,66,6,97
16,37,22,44,60,14,42,25,14,24,61
17,98,36,89,6,23,94,44,36,63,65
18,99,3,64,10,61,55,101,9,9,60
19,91,4,76,49,37,49,68,29,13,84
20,100,92,76,50,60,16,83,44,7,36
21,57,100,9,9,73,35,78,91,66,100
22,48,26,57,81,15,45,75,66,82,97
23,67,84,1,3,34,31,64,13,60,8
24,4,43,78,47,17,34,65,61,1,95
25,89,28,89,23,56,51,43,33,76,44
26,98,52,94,23,8,20,11,73,27,6
27,63,53,11,95,78,64,28,52,7,1
28,81,38,60,6,91,25,28,22,6,86
29,67,90,15,9,50,64,81,40,84,4
30,48,74,17,70,94,48,96,46,43,97
31,37,91,77,47,8,19,48,32,34,73
32,47,85,82,52,26,12,35,28,69,31
33,46,80,72,34,15,76,26,94,58,65
34,91,99,53,23,62,92,20,86,70,91
35,91,77,70,94,70,68,94,35,99,51
36,6,34,93,32,72,22,1,35,44,20
37,7,71,82,49,5,70,60,76,80,39
38,62,43,18,11,62,72,3,71,11,14
39,16,52,9,91,71,26,31,69,16,71
40,58,71,88,29,72,96,46,12,80,58
41,3,45,25,8,41,71,68,82,1,12
42,68,95,50,20,81,1,4,90,73,97
43,76,34,94,50,17,93,91,98,28,61
44,18,45,15,99,72,81,58,2,39,26
45,72,69,90,93,46,76,94,44,88,68
46,17,61,47,58,38,14,35,11,81,27
47,2,13,46,3,73,81,3,62,65,59
48,8,41,1,89,85,10,26,59,60,5
49,40,91,80,23,88,66,100,37,48,78
50,65,40,99,49,47,81,10,80,41,95
51,43,20,99,19,11,54,29,13,69,95
52,68,46,70,19,13,74,68,67,29,100
53,73,90,49,71,87,28,58,9,88,40
54,79,23,69,17,53,25,65,2,7,40
55,57,39,30,19,27,100,4,50,84,93
56,77,52,48,74,65,66,27,11,52,25
57,40,27,54,18,83,13,61,20,96,17
58,92,5,68,98,62,1,8,19,7,89
59,78,8,40,17,47,79,73,75,71,1
60,34,34,98,95,23,5,37,23,80,84
61,65,42,47,57,73,90,96,46,75,36
62,44,8,67,72,86,84,28,78,80,82
63,80,68,84,20,23,94,44,26,85,101
64,2,99,16,39,1,37,81,64,95,100
65,78,52,80,19,79,81,15,43,7,74
66,88,39,83,95,87,53,82,44,20,30
67,94,31,24,100,59,19,38,42,83,85
68,34,82,67,6,26,22,62,8,99,54
69,86,35,10,1,60,24,72,8,58,72
70,7,28,7,12,76,41,19,84,15,35
71,97,6,20,63,71,37,17,71,8,101
72,10,52,16,12,89,92,18,44,54,34
73,51,5,66,23,93,45,29,29,42,80
74,67,99,68,12,70,26,13,59,20,42
75,44,61,8,53,93,84,92,34,19,78
76,52,35,90,49,16,29,36,101,17,85
77,31,97,5,97,29,46,29,15,33,87
78,67,14,64,51,10,24,23,60,95,57
79,1,15,97,93,2,101,58,44,92,85
80,99,91,96,15,44,20,24,19,77,7
81,74,60,25,58,88,47,75,54,26,84
82,82,101,25,63,92,73,92,1,56,28
83,80,99,58,2,9,97,30,40,15,15
84,100,41,36,35,81,67,31,44,36,79
85,22,16,52,70,10,68,6,49,11,55
86,91,79,79,66,32,60,52,40,21,92
87,100,99,69,62,11,47,97,68,95,96
88,64,40,25,2,59,94,56,43,44,97
89,43,17,87,17,25,16,59,13,11,24
90,45,9,41,12,61,62,12,1,6,47
91,24,17,21,60,74,65,26,68,6,41
92,94,29,65,84,39,101,68,41,24,97
93,57,90,67,47,66,4,80,19,66,34
94,24,28,7,45,4,33,40,74,14,56
95,99,75,71,72,31,86,3,21,27,78
96,59,79,67,76,31,56,93,6,101,68
97,27,10,23,52,82,86,45,34,29,13
98,99,42,95,1,7,23,50,33,35,44
99,55,75,2,63,73,29,12,52,52,30
100,58,91,86,41,41,65,96,65,33,12
