1,59,45,45,58,49,24,89,41,92,25
2,19,91,89,74,1,87,42,75,55,73
3,64,73,40,100,44,89,45,82,75,2
4,88,39,53,29,38,70,9,81,85,90
5,39,10,66,75,59,19,1,26,61,3
6,71,72,90,3,59,6,21,79,89,41
7,89,77,59,10,25,28,94,54,12,12
8,59,76,26,16,35,94,70,17,5,9
9,15,58,41,98,30,20,71,87,51,3
10,78,76,76,46,53,58,38,28,85,12
11,75,82,86,55,14,6,14,64,54,82
12,98,23,96,93,10,100,83,94,13,68
13,57,79,68,70,73,68,4,33,50,86
14,101,20,14,38,79,31,55,76,12,92
15,4,95,22,100,67,85,53,87,76,68
16,77,77,85,14,24,98,62,18,72,56
17,69,5,45,16,55,68,63,61,26,83
18,11,16,18,89,46,72,22,93,94,48
19,98,46,38,10,1,36,64,57,28,56
20,48,68,28,66,49,57,92,31,101,30
21,58,64,53,22,57,39,66,86,78,45
22,20,62,19,43,46,94,5,52,89,87
23,16,2,74,1,67,70,90,48,58,62
24,78,65,42,3,6,91,51,21,57,70
25,97,83,21,38,32,92,100,39,27,7
26,18,74,100,87,47,22,66,75,20,61
27,57,66,29,42,92,24,33,90,25,63
28,44,58,84,4,54,49,13,40,28,78
29,57,56,61,66,72,67,87,43,94,1
30,99,69,92,38,94,62,63,37,78,62
31,74,72,72,56,32,28,2,14,1,72
32,11,98,99,36,37,14,95,40,81,70
33,88,66,25,51,1,59,9,82,50,91
34,42,33,96,80,34,91,15,78,36,92
35,16,18,55,57,41,27,29,14,18,28
36,36,29,72,72,31,27,85,37,26,62
37,95,82,26,43,46,78,93,42,22,8
38,18,52,10,66,42,78,24,13,31,66
39,87,26,79,100,45,21,57,39,21,11
40,95,15,6,39,68,98,32,70,97,38
41,1,84,23,18,43,1,79,81,41,30
42,7,63,19,98,23,76,77,24,29,3
43,2,67,54,71,80,32,61,14,67,82
44,77,17,38,18,53,48,35,21,65,95
45,76,19,81,79,85,61,8,28,46,90
46,61,82,94,58,50,11,29,92,85,75
47,33,74,87,78,62,69,21,8,43,79
48,26,78,39,43,13,35,91,66,48,36
49,23,97,5,27,66,81,28,25,23,74
50,14,52,58,13,98,57,33,33,22,16
51,27,64,41,36,46,36,28,45,72,52
52,26,24,86,47,82,53,2,41,90,11
53,86,42,85,35,56,75,81,76,31,51
54,68,73,29,75,31,74,68,28,101,80
55,47,35,4,23,81,99,21,91,100,56
56,40,26,53,30,18,14,43,99,47,90
57,2,41,52,79,51,30,37,76,43,80
58,23,55,8,53,99,96,33,89,39,22
59,24,47,18,17,29,27,80,6,37,82
60,52,35,57,42,17,2,7,32,29,20
61,29,11,87,21,90,53,24,26,13,77
62,69,100,80,100,63,80,76,13,87,60
63,43,61,91,50,34,11,83,90,71,43
64,96,61,17,87,85,21,65,6,34,98
65,43,19,78,83,54,82,17,1,38,27
66,97,78,101,75,81,16,7,93,2,72
67,11,55,82,35,76,37,63,89,46,55
68,9,84,3,92,35,70,94,73,63,44
69,77,40,23,84,23,50,18,53,44,93
70,23,69,30,11,44,3,30,2,95,54
71,84,91,44,21,20,70,49,49,61,5
72,95,13,78,67,22,43,30,3,15,64
73,24,12,38,9,53,73,26,13,34,8
74,43,99,92,23,41,44,67,65,79,5
75,12,82,29,77,92,48,13,12,59,15
76,84,44,65,86,49,47,87,64,53,2
77,97,65,49,90,73,26,89,46,67,84
78,17,49,78,101,92,41,89,39,74,33
79,91,18,89,16,36,53,82,97,39,56
80,78,3,68,44,88,94,81,18,100,48
81,63,74,63,56,15,59,93,98,46,33
82,96,17,91,12,72,27,93,100,37,52
83,79,72,98,18,30,101,97,26,26,67
84,80,4,97,25,40,39,53,73,70,37
85,24,46,41,20,42,42,12,62,12,51
86,31,49,10,40,73,46,20,71,13,69
87,75,96,26,28,49,71,45,40,43,19
88,64,10,62,59,7,7,66,29,26,49
89,23,42,57,16,45,34,4,12,93,10
90,69,80,8,99,28,48,55,86,48,85
91,46,8,5,88,86,70,89,96,17,49
92,34,73,88,82,82,54,97,23,37,21
93,65,38,3,74,78,77,57,1,50,6
94,19,18,31,87,16,34,45,95,62,75
95,27,56,91,95,52,19,17,49,58,4
96,6,33,44,57,10,58,39,41,84,25
97,5,89,38,99,19,40,71,28,9,87
98,17,87,38,44,24,93,2,52,52,87
99,7,50,9,55,17,58,8,38,89,30
100,47,6,81,6,31,27,9,12,59,58
